lc,track_id,time_iso,day_hour,lon,lat,pv_anom_330,area_deg2
lc1,0,2000-01-10T03:00:00,219.0,3.2076,58.0016,3.876805e-01,211.216
lc1,0,2000-01-10T06:00:00,222.0,5.0508,57.1759,4.674859e-01,243.437
lc1,0,2000-01-10T07:00:00,223.0,5.7184,56.8457,4.852881e-01,250.451
lc1,0,2000-01-10T08:00:00,224.0,6.4450,56.5944,5.080914e-01,257.347
lc1,0,2000-01-10T09:00:00,225.0,7.1692,56.3053,5.416350e-01,262.511
lc1,0,2000-01-10T10:00:00,226.0,7.9573,56.0205,5.717716e-01,262.518
lc1,0,2000-01-10T11:00:00,227.0,8.7882,55.7017,6.060648e-01,262.052
lc1,0,2000-01-10T12:00:00,228.0,9.6981,55.4132,6.396933e-01,262.124
lc1,0,2000-01-10T13:00:00,229.0,10.6892,55.0175,6.864562e-01,256.146
lc1,0,2000-01-10T14:00:00,230.0,11.7888,54.6210,7.003989e-01,258.808
lc1,0,2000-01-10T15:00:00,231.0,12.9519,54.1902,7.238631e-01,253.345
lc1,0,2000-01-10T16:00:00,232.0,14.1065,53.7916,7.395325e-01,246.758
lc1,0,2000-01-10T17:00:00,233.0,15.2446,53.4016,7.411809e-01,245.327
lc1,0,2000-01-10T18:00:00,234.0,16.4352,53.0149,7.513318e-01,238.387
lc1,0,2000-01-10T19:00:00,235.0,17.5863,52.6633,7.432733e-01,234.149
lc1,0,2000-01-10T20:00:00,236.0,18.7373,52.3091,7.240567e-01,231.233
lc1,0,2000-01-10T21:00:00,237.0,19.9027,51.9677,7.065749e-01,232.433
lc1,0,2000-01-10T22:00:00,238.0,21.0848,51.6083,6.894207e-01,229.981
lc1,0,2000-01-10T23:00:00,239.0,22.3128,51.2679,6.744123e-01,226.229
lc1,0,2000-01-11T00:00:00,240.0,23.5478,50.9494,6.717916e-01,222.703
lc1,0,2000-01-11T01:00:00,241.0,24.7817,50.6659,6.698632e-01,219.091
lc1,0,2000-01-11T02:00:00,242.0,26.0151,50.3648,6.594019e-01,215.495
lc1,0,2000-01-11T03:00:00,243.0,27.2138,50.1100,6.641850e-01,210.967
lc1,0,2000-01-11T04:00:00,244.0,28.4617,49.8977,6.723185e-01,205.891
lc1,0,2000-01-11T05:00:00,245.0,29.6880,49.7118,6.751685e-01,200.910
lc1,0,2000-01-11T06:00:00,246.0,30.9561,49.5677,6.840758e-01,194.750
lc1,0,2000-01-11T07:00:00,247.0,32.2243,49.4192,6.855121e-01,193.847
lc1,0,2000-01-11T08:00:00,248.0,33.5579,49.2750,6.756859e-01,188.063
lc1,0,2000-01-11T09:00:00,249.0,34.9492,49.1574,6.783619e-01,187.264
lc1,0,2000-01-11T10:00:00,250.0,36.3755,49.0122,6.676750e-01,182.378
lc1,0,2000-01-11T11:00:00,251.0,37.8992,48.8869,6.573420e-01,180.005
