lc,method,track_id,time_iso,day_hour,lon,lat,val,area_deg2
lc1,zeta250,0,2000-01-07T00:00:00,144.0,215.1562,51.1279,-1.034371e-05,77.098
lc1,zeta250,0,2000-01-07T01:00:00,145.0,216.5625,52.5286,-1.073704e-05,86.833
lc1,zeta250,0,2000-01-07T02:00:00,146.0,217.9688,51.1279,-1.114734e-05,94.022
lc1,zeta250,0,2000-01-07T03:00:00,147.0,217.9688,51.1279,-1.163222e-05,106.528
lc1,zeta250,0,2000-01-07T04:00:00,148.0,219.3750,51.1279,-1.196802e-05,121.486
lc1,zeta250,0,2000-01-07T05:00:00,149.0,219.3750,51.1279,-1.235989e-05,129.654
lc1,zeta250,0,2000-01-07T06:00:00,150.0,220.7812,51.1279,-1.277876e-05,134.738
lc1,zeta250,0,2000-01-07T07:00:00,151.0,222.1875,52.5286,-1.314528e-05,137.441
lc1,zeta250,0,2000-01-07T08:00:00,152.0,222.1875,52.5286,-1.359001e-05,147.949
lc1,zeta250,0,2000-01-07T09:00:00,153.0,223.5938,52.5286,-1.396696e-05,154.839
lc1,zeta250,0,2000-01-07T10:00:00,154.0,225.0000,52.5286,-1.442315e-05,157.589
lc1,zeta250,0,2000-01-07T11:00:00,155.0,225.0000,52.5286,-1.493092e-05,165.320
lc1,zeta250,0,2000-01-07T12:00:00,156.0,226.4062,53.9294,-1.531698e-05,155.955
lc1,zeta250,0,2000-01-07T13:00:00,157.0,227.8125,52.5286,-1.569564e-05,172.162
lc1,zeta250,0,2000-01-07T14:00:00,158.0,227.8125,52.5286,-1.615549e-05,181.572
lc1,zeta250,0,2000-01-07T15:00:00,159.0,229.2188,53.9294,-1.668962e-05,171.856
lc1,zeta250,0,2000-01-07T16:00:00,160.0,230.6250,52.5286,-1.702739e-05,189.157
lc1,zeta250,0,2000-01-07T17:00:00,161.0,230.6250,52.5286,-1.747238e-05,197.238
lc1,zeta250,0,2000-01-07T18:00:00,162.0,232.0312,53.9294,-1.800441e-05,184.138
lc1,zeta250,0,2000-01-07T19:00:00,163.0,233.4375,53.9294,-1.833416e-05,192.008
lc1,zeta250,0,2000-01-07T20:00:00,164.0,234.8438,53.9294,-1.874033e-05,193.723
lc1,zeta250,0,2000-01-07T21:00:00,165.0,234.8438,53.9294,-1.915095e-05,196.060
lc1,zeta250,0,2000-01-07T23:00:00,167.0,237.6562,53.9294,-1.985010e-05,204.627
lc1,zeta250,0,2000-01-08T00:00:00,168.0,239.0625,55.3301,-2.023978e-05,187.447
lc1,zeta250,0,2000-01-08T01:00:00,169.0,240.4688,53.9294,-2.052052e-05,206.584
lc1,zeta250,0,2000-01-08T02:00:00,170.0,241.8750,55.3301,-2.101002e-05,197.025
lc1,zeta250,0,2000-01-08T03:00:00,171.0,241.8750,55.3301,-2.133359e-05,201.670
lc1,zeta250,0,2000-01-08T04:00:00,172.0,244.6875,55.3301,-2.170888e-05,196.620
lc1,zeta250,0,2000-01-08T05:00:00,173.0,244.6875,55.3301,-2.214502e-05,205.918
lc1,zeta250,0,2000-01-08T06:00:00,174.0,244.6875,53.9294,-2.244926e-05,224.701
lc1,zeta250,0,2000-01-08T07:00:00,175.0,246.0938,53.9294,-2.283204e-05,222.946
lc1,zeta250,0,2000-01-08T08:00:00,176.0,247.5000,53.9294,-2.317657e-05,222.506
lc1,zeta250,0,2000-01-08T09:00:00,177.0,247.5000,53.9294,-2.344585e-05,232.379
lc1,zeta250,0,2000-01-08T10:00:00,178.0,248.9062,53.9294,-2.377552e-05,228.978
lc1,zeta250,0,2000-01-08T11:00:00,179.0,248.9062,52.5286,-2.406368e-05,238.428
lc1,zeta250,0,2000-01-08T13:00:00,181.0,253.1250,53.9294,-2.465193e-05,229.428
lc1,zeta250,0,2000-01-08T14:00:00,182.0,253.1250,53.9294,-2.505813e-05,232.131
lc1,zeta250,0,2000-01-08T15:00:00,183.0,255.9375,55.3301,-2.538788e-05,219.572
lc1,zeta250,0,2000-01-08T16:00:00,184.0,254.5312,53.9294,-2.573502e-05,240.816
lc1,zeta250,0,2000-01-08T17:00:00,185.0,255.9375,53.9294,-2.612069e-05,234.589
lc1,zeta250,0,2000-01-08T18:00:00,186.0,257.3438,53.9294,-2.635550e-05,240.735
lc1,zeta250,0,2000-01-08T19:00:00,187.0,258.7500,53.9294,-2.662999e-05,237.264
lc1,zeta250,0,2000-01-08T20:00:00,188.0,258.7500,53.9294,-2.697562e-05,239.414
lc1,zeta250,0,2000-01-08T21:00:00,189.0,258.7500,53.9294,-2.703399e-05,249.431
lc1,zeta250,0,2000-01-08T22:00:00,190.0,261.5625,53.9294,-2.721609e-05,239.612
lc1,zeta250,0,2000-01-08T23:00:00,191.0,261.5625,53.9294,-2.737509e-05,243.938
lc1,zeta250,0,2000-01-09T00:00:00,192.0,262.9688,53.9294,-2.739349e-05,242.461
lc1,zeta250,0,2000-01-09T01:00:00,193.0,264.3750,53.9294,-2.749643e-05,243.058
lc1,zeta250,0,2000-01-09T02:00:00,194.0,264.3750,53.9294,-2.780140e-05,244.100
lc1,zeta250,0,2000-01-09T03:00:00,195.0,267.1875,55.3301,-2.783577e-05,235.924
lc1,zeta250,0,2000-01-09T04:00:00,196.0,267.1875,53.9294,-2.809701e-05,243.694
lc1,zeta250,0,2000-01-09T05:00:00,197.0,267.1875,53.9294,-2.838438e-05,243.670
lc1,zeta250,0,2000-01-09T06:00:00,198.0,270.0000,55.3301,-2.836981e-05,243.276
lc1,zeta250,0,2000-01-09T07:00:00,199.0,270.0000,53.9294,-2.853335e-05,245.086
lc1,zeta250,0,2000-01-09T08:00:00,200.0,270.0000,53.9294,-2.868506e-05,244.066
lc1,zeta250,0,2000-01-09T09:00:00,201.0,270.0000,52.5286,-2.869256e-05,242.992
lc1,zeta250,0,2000-01-09T10:00:00,202.0,270.0000,52.5286,-2.864110e-05,241.182
lc1,zeta250,0,2000-01-09T11:00:00,203.0,272.8125,52.5286,-2.850738e-05,239.742
lc1,zeta250,0,2000-01-09T13:00:00,205.0,275.6250,53.9294,-2.862558e-05,236.173
lc1,zeta250,0,2000-01-09T15:00:00,207.0,281.2500,55.3301,-2.884742e-05,226.403
lc1,zeta250,0,2000-01-09T16:00:00,208.0,281.2500,55.3301,-2.890006e-05,228.088
