lc,method,track_id,time_iso,day_hour,lon,lat,val,area_deg2
lc1,zeta250_back,0,2000-01-05T05:00:00,101.0,271.4062,48.3264,2.069564e-06,0.000
lc1,zeta250_back,0,2000-01-05T06:00:00,102.0,271.4062,48.3264,2.142650e-06,0.000
lc1,zeta250_back,0,2000-01-05T07:00:00,103.0,272.8125,48.3264,2.229070e-06,0.000
lc1,zeta250_back,0,2000-01-05T08:00:00,104.0,274.2188,49.7271,2.309205e-06,0.000
lc1,zeta250_back,0,2000-01-05T09:00:00,105.0,275.6250,49.7271,2.373534e-06,0.000
lc1,zeta250_back,0,2000-01-05T10:00:00,106.0,275.6250,48.3264,2.418708e-06,0.000
lc1,zeta250_back,0,2000-01-05T11:00:00,107.0,278.4375,49.7271,2.471137e-06,0.000
lc1,zeta250_back,0,2000-01-05T12:00:00,108.0,279.8438,49.7271,2.582813e-06,0.000
lc1,zeta250_back,0,2000-01-05T13:00:00,109.0,279.8438,51.1279,2.808750e-06,0.000
lc1,zeta250_back,0,2000-01-05T14:00:00,110.0,279.8438,48.3264,2.856010e-06,0.000
lc1,zeta250_back,0,2000-01-05T15:00:00,111.0,279.8438,49.7271,2.982716e-06,0.000
lc1,zeta250_back,0,2000-01-05T16:00:00,112.0,279.8438,49.7271,3.060282e-06,0.000
lc1,zeta250_back,0,2000-01-05T17:00:00,113.0,282.6562,48.3264,3.165201e-06,0.000
lc1,zeta250_back,0,2000-01-05T18:00:00,114.0,282.6562,49.7271,3.372049e-06,0.000
lc1,zeta250_back,0,2000-01-05T19:00:00,115.0,284.0625,49.7271,3.338469e-06,0.000
lc1,zeta250_back,0,2000-01-05T20:00:00,116.0,282.6562,49.7271,3.581206e-06,0.000
lc1,zeta250_back,0,2000-01-05T21:00:00,117.0,286.8750,49.7271,3.574169e-06,0.000
lc1,zeta250_back,0,2000-01-05T22:00:00,118.0,286.8750,51.1279,3.668105e-06,0.000
lc1,zeta250_back,0,2000-01-05T23:00:00,119.0,286.8750,51.1279,3.869647e-06,0.000
lc1,zeta250_back,0,2000-01-06T00:00:00,120.0,288.2812,51.1279,4.033072e-06,0.000
lc1,zeta250_back,0,2000-01-06T01:00:00,121.0,289.6875,51.1279,4.115848e-06,0.000
lc1,zeta250_back,0,2000-01-06T02:00:00,122.0,289.6875,49.7271,4.463938e-06,0.000
lc1,zeta250_back,0,2000-01-06T03:00:00,123.0,291.0938,49.7271,4.565075e-06,0.000
lc1,zeta250_back,0,2000-01-06T04:00:00,124.0,289.6875,48.3264,4.745327e-06,0.000
lc1,zeta250_back,0,2000-01-06T05:00:00,125.0,292.5000,48.3264,4.793637e-06,0.000
lc1,zeta250_back,0,2000-01-06T06:00:00,126.0,292.5000,48.3264,5.109439e-06,0.000
lc1,zeta250_back,0,2000-01-06T07:00:00,127.0,293.9062,48.3264,5.167884e-06,0.000
lc1,zeta250_back,0,2000-01-06T08:00:00,128.0,292.5000,49.7271,5.202875e-06,0.000
lc1,zeta250_back,0,2000-01-06T09:00:00,129.0,293.9062,49.7271,5.496028e-06,0.000
lc1,zeta250_back,0,2000-01-06T10:00:00,130.0,295.3125,49.7271,5.654360e-06,0.000
lc1,zeta250_back,0,2000-01-06T11:00:00,131.0,298.1250,51.1279,5.874915e-06,0.000
lc1,zeta250_back,0,2000-01-06T12:00:00,132.0,298.1250,51.1279,6.182990e-06,0.000
lc1,zeta250_back,0,2000-01-06T13:00:00,133.0,296.7188,49.7271,6.482610e-06,0.000
lc1,zeta250_back,0,2000-01-06T14:00:00,134.0,299.5312,49.7271,6.736360e-06,0.000
lc1,zeta250_back,0,2000-01-06T15:00:00,135.0,300.9375,51.1279,6.981611e-06,0.000
lc1,zeta250_back,0,2000-01-06T16:00:00,136.0,299.5312,49.7271,7.201619e-06,0.000
lc1,zeta250_back,0,2000-01-06T17:00:00,137.0,300.9375,48.3264,7.384350e-06,0.000
lc1,zeta250_back,0,2000-01-06T18:00:00,138.0,300.9375,49.7271,7.676832e-06,0.000
lc1,zeta250_back,0,2000-01-06T19:00:00,139.0,300.9375,48.3264,7.853856e-06,0.000
lc1,zeta250_back,0,2000-01-06T20:00:00,140.0,302.3438,49.7271,8.011662e-06,1.000
lc1,zeta250_back,0,2000-01-06T21:00:00,141.0,305.1562,51.1279,8.312571e-06,11.000
lc1,zeta250_back,0,2000-01-06T22:00:00,142.0,305.1562,51.1279,8.486445e-06,20.000
lc1,zeta250_back,0,2000-01-06T23:00:00,143.0,306.5625,51.1279,8.963941e-06,32.000
lc1,zeta250_back,0,2000-01-07T00:00:00,144.0,306.5625,51.1279,9.281020e-06,43.000
lc1,zeta250_back,0,2000-01-07T01:00:00,145.0,307.9688,51.1279,9.698818e-06,53.000
lc1,zeta250_back,0,2000-01-07T02:00:00,146.0,307.9688,50.4275,1.000917e-05,63.000
