lc,method,track_id,time_iso,day_hour,lon,lat,val,area_deg2
lc2,pv330,0,2000-01-09T01:00:00,193.0,151.8750,59.5323,-3.652577e-01,185.047
lc2,pv330,0,2000-01-09T02:00:00,194.0,154.6875,58.1316,-3.765445e-01,203.162
lc2,pv330,0,2000-01-09T03:00:00,195.0,154.6875,59.5323,-3.928456e-01,195.147
lc2,pv330,0,2000-01-09T04:00:00,196.0,153.2812,59.5323,-4.083920e-01,196.651
lc2,pv330,0,2000-01-09T05:00:00,197.0,157.5000,59.5323,-4.220872e-01,195.778
lc2,pv330,0,2000-01-09T06:00:00,198.0,157.5000,59.5323,-4.373641e-01,201.642
lc2,pv330,0,2000-01-09T07:00:00,199.0,157.5000,59.5323,-4.625387e-01,207.924
lc2,pv330,0,2000-01-09T08:00:00,200.0,157.5000,59.5323,-4.801254e-01,215.484
lc2,pv330,0,2000-01-09T09:00:00,201.0,156.0938,59.5323,-4.830265e-01,215.349
lc2,pv330,0,2000-01-09T10:00:00,202.0,157.5000,60.9331,-4.962826e-01,195.936
lc2,pv330,0,2000-01-09T11:00:00,203.0,157.5000,60.9331,-4.993143e-01,198.719
lc2,pv330,0,2000-01-09T12:00:00,204.0,160.3125,59.5323,-5.143652e-01,222.303
lc2,pv330,0,2000-01-09T13:00:00,205.0,160.3125,60.9331,-5.300150e-01,203.047
lc2,pv330,0,2000-01-09T14:00:00,206.0,160.3125,60.9331,-5.326185e-01,204.518
lc2,pv330,0,2000-01-09T15:00:00,207.0,161.7188,60.9331,-5.453124e-01,208.223
lc2,pv330,0,2000-01-09T16:00:00,208.0,161.7188,60.9331,-5.666661e-01,206.327
lc2,pv330,0,2000-01-09T17:00:00,209.0,163.1250,60.9331,-5.775485e-01,210.725
lc2,pv330,0,2000-01-09T18:00:00,210.0,164.5312,60.9331,-5.871272e-01,215.128
lc2,pv330,0,2000-01-09T19:00:00,211.0,164.5312,60.9331,-5.922523e-01,215.907
lc2,pv330,0,2000-01-09T20:00:00,212.0,163.1250,60.9331,-6.065111e-01,218.087
lc2,pv330,0,2000-01-09T21:00:00,213.0,164.5312,60.9331,-6.170402e-01,224.331
lc2,pv330,0,2000-01-09T22:00:00,214.0,165.9375,60.9331,-6.276770e-01,223.085
lc2,pv330,0,2000-01-09T23:00:00,215.0,165.9375,62.3338,-6.302638e-01,203.598
lc2,pv330,0,2000-01-10T00:00:00,216.0,167.3438,60.9331,-6.359582e-01,225.548
lc2,pv330,0,2000-01-10T01:00:00,217.0,165.9375,62.3338,-6.457524e-01,206.921
lc2,pv330,0,2000-01-10T02:00:00,218.0,165.9375,62.3338,-6.475792e-01,206.920
lc2,pv330,0,2000-01-10T03:00:00,219.0,167.3438,62.3338,-6.619725e-01,209.253
lc2,pv330,0,2000-01-10T04:00:00,220.0,170.1562,60.9331,-6.687913e-01,234.078
lc2,pv330,0,2000-01-10T05:00:00,221.0,170.1562,62.3338,-6.818190e-01,212.358
lc2,pv330,0,2000-01-10T06:00:00,222.0,170.1562,62.3338,-6.839261e-01,215.503
lc2,pv330,0,2000-01-10T07:00:00,223.0,170.1562,62.3338,-6.955810e-01,219.849
lc2,pv330,0,2000-01-10T08:00:00,224.0,168.7500,63.7345,-6.999760e-01,196.162
lc2,pv330,0,2000-01-10T09:00:00,225.0,170.1562,62.3338,-7.112899e-01,223.472
lc2,pv330,0,2000-01-10T10:00:00,226.0,172.9688,62.3338,-7.157254e-01,226.497
lc2,pv330,0,2000-01-10T11:00:00,227.0,171.5625,63.7345,-7.215023e-01,202.801
lc2,pv330,0,2000-01-10T12:00:00,228.0,172.9688,63.7345,-7.323704e-01,205.600
lc2,pv330,0,2000-01-10T13:00:00,229.0,172.9688,63.7345,-7.309308e-01,206.036
lc2,pv330,0,2000-01-10T14:00:00,230.0,172.9688,63.7345,-7.447829e-01,207.975
lc2,pv330,0,2000-01-10T15:00:00,231.0,172.9688,63.7345,-7.577853e-01,206.044
lc2,pv330,0,2000-01-10T16:00:00,232.0,174.3750,63.7345,-7.608471e-01,208.665
lc2,pv330,0,2000-01-10T17:00:00,233.0,175.7812,65.1353,-7.672935e-01,188.233
lc2,pv330,0,2000-01-10T18:00:00,234.0,175.7812,65.1353,-7.823195e-01,188.968
lc2,pv330,0,2000-01-10T19:00:00,235.0,175.7812,65.1353,-7.854013e-01,190.267
lc2,pv330,0,2000-01-10T20:00:00,236.0,175.7812,65.1353,-7.925735e-01,192.075
lc2,pv330,0,2000-01-10T21:00:00,237.0,175.7812,65.1353,-7.893939e-01,192.429
lc2,pv330,0,2000-01-10T22:00:00,238.0,177.1875,65.1353,-7.869806e-01,196.606
lc2,pv330,0,2000-01-10T23:00:00,239.0,178.5938,65.1353,-7.895756e-01,196.387
lc2,pv330,0,2000-01-11T00:00:00,240.0,180.0000,65.1353,-8.053813e-01,200.743
lc2,pv330,0,2000-01-11T01:00:00,241.0,180.0000,65.1353,-7.888908e-01,201.085
lc2,pv330,0,2000-01-11T02:00:00,242.0,180.0000,65.1353,-7.890210e-01,202.289
lc2,pv330,0,2000-01-11T03:00:00,243.0,180.0000,65.1353,-7.973423e-01,204.838
lc2,pv330,0,2000-01-11T04:00:00,244.0,182.8125,65.1353,-7.967486e-01,205.348
lc2,pv330,0,2000-01-11T05:00:00,245.0,182.8125,65.1353,-7.950573e-01,208.408
lc2,pv330,0,2000-01-11T06:00:00,246.0,184.2188,66.5360,-8.071012e-01,182.618
lc2,pv330,0,2000-01-11T07:00:00,247.0,182.8125,66.5360,-8.118644e-01,182.314
lc2,pv330,0,2000-01-11T08:00:00,248.0,184.2188,66.5360,-8.203726e-01,184.218
lc2,pv330,0,2000-01-11T09:00:00,249.0,185.6250,66.5360,-8.228765e-01,184.774
lc2,pv330,0,2000-01-11T10:00:00,250.0,187.0312,66.5360,-8.289037e-01,186.544
lc2,pv330,0,2000-01-11T11:00:00,251.0,187.0312,66.5360,-8.462934e-01,186.803
lc2,pv330,0,2000-01-11T12:00:00,252.0,188.4375,66.5360,-8.479209e-01,187.666
lc2,pv330,0,2000-01-11T13:00:00,253.0,188.4375,66.5360,-8.399911e-01,184.231
lc2,pv330,0,2000-01-11T14:00:00,254.0,191.2500,66.5360,-8.360324e-01,188.535
lc2,pv330,0,2000-01-11T15:00:00,255.0,188.4375,66.5360,-8.493524e-01,179.245
lc2,pv330,0,2000-01-11T16:00:00,256.0,191.2500,66.5360,-8.531694e-01,182.687
lc2,pv330,0,2000-01-11T17:00:00,257.0,192.6562,66.5360,-8.551917e-01,187.740
lc2,pv330,0,2000-01-11T18:00:00,258.0,194.0625,66.5360,-8.599110e-01,186.908
lc2,pv330,0,2000-01-11T19:00:00,259.0,194.0625,66.5360,-8.546762e-01,185.760
lc2,pv330,0,2000-01-11T20:00:00,260.0,195.4688,66.5360,-8.560796e-01,187.357
lc2,pv330,0,2000-01-11T21:00:00,261.0,195.4688,66.5360,-8.641787e-01,180.680
lc2,pv330,0,2000-01-11T22:00:00,262.0,196.8750,67.9367,-8.587646e-01,165.992
lc2,pv330,0,2000-01-11T23:00:00,263.0,196.8750,67.9367,-8.644223e-01,164.274
lc2,pv330,0,2000-01-12T00:00:00,264.0,198.2812,67.9367,-8.706007e-01,164.830
lc2,pv330,0,2000-01-12T01:00:00,265.0,196.8750,67.9367,-8.764019e-01,159.449
lc2,pv330,0,2000-01-12T02:00:00,266.0,198.2812,67.9367,-8.842416e-01,162.860
lc2,pv330,0,2000-01-12T03:00:00,267.0,199.6875,67.9367,-8.883324e-01,161.518
lc2,pv330,0,2000-01-12T04:00:00,268.0,201.0938,67.9367,-9.011908e-01,163.536
lc2,pv330,0,2000-01-12T05:00:00,269.0,202.5000,67.9367,-9.021764e-01,161.708
lc2,pv330,0,2000-01-12T06:00:00,270.0,203.9062,67.9367,-9.124861e-01,165.542
lc2,pv330,0,2000-01-12T07:00:00,271.0,203.9062,67.9367,-9.241419e-01,161.174
lc2,pv330,0,2000-01-12T08:00:00,272.0,205.3125,67.9367,-9.347777e-01,160.403
lc2,pv330,0,2000-01-12T09:00:00,273.0,205.3125,67.9367,-9.417939e-01,158.937
lc2,pv330,0,2000-01-12T10:00:00,274.0,205.3125,67.9367,-9.420805e-01,156.875
